"DateTime","E07SP"
"25.10.2004 09:33:50",0
"03.03.2005 09:45:10",4
"03.03.2005 09:45:20",25
"03.03.2005 09:45:30",46
"03.03.2005 09:45:40",52
"03.03.2005 13:05:40",56
"03.03.2005 13:05:50",42
"03.03.2005 13:06:00",31
"03.03.2005 13:06:10",10
"03.03.2005 13:06:20",0
"26.03.2005 10:29:10",3
"26.03.2005 10:29:20",23
"26.03.2005 10:29:30",44
"26.03.2005 10:29:40",65
"26.03.2005 10:29:50",76
"26.03.2005 10:30:00",100
"26.03.2005 10:30:10",100
"26.03.2005 11:47:00",99
"26.03.2005 11:47:10",99
"26.03.2005 14:05:20",77
"26.03.2005 14:05:30",56
"26.03.2005 14:05:40",35
"26.03.2005 14:05:50",14
"26.03.2005 14:06:00",3
"26.03.2005 14:06:10",0
"28.03.2005 12:07:40",13
"28.03.2005 12:07:50",34
"28.03.2005 12:08:00",44
"28.03.2005 12:08:10",65
"28.03.2005 12:08:20",86
"28.03.2005 12:08:30",100
"28.03.2005 12:08:40",100
"28.03.2005 12:51:40",99
"28.03.2005 14:05:10",87
"28.03.2005 14:05:20",66
"28.03.2005 14:05:30",56
"28.03.2005 14:05:40",35
"28.03.2005 14:05:50",14
"28.03.2005 14:06:00",0
"28.03.2005 14:06:10",0
"29.03.2005 09:45:10",14
"29.03.2005 09:45:20",33
"29.03.2005 09:45:30",33
"29.03.2005 11:23:30",19
"29.03.2005 11:23:40",0
"30.03.2005 09:48:20",4
"30.03.2005 09:48:30",25
"30.03.2005 09:48:40",46
"30.03.2005 09:48:50",57
"30.03.2005 09:49:00",78
"30.03.2005 09:49:10",99
"30.03.2005 09:49:20",100
"30.03.2005 09:54:10",96
"30.03.2005 09:54:20",75
"30.03.2005 09:54:30",54
"30.03.2005 09:54:40",33
"30.03.2005 09:54:50",23
"30.03.2005 09:55:00",2
"30.03.2005 09:55:10",0
"04.04.2005 09:30:10",14
"04.04.2005 09:30:20",35
"04.04.2005 09:30:30",46
"04.04.2005 09:30:40",67
"04.04.2005 09:30:50",88
"04.04.2005 09:31:00",100
"04.04.2005 09:59:40",96
"04.04.2005 09:59:50",75
"04.04.2005 10:00:00",65
"04.04.2005 10:00:10",44
"04.04.2005 10:00:20",48
"04.04.2005 10:34:00",34
"04.04.2005 10:34:10",23
"04.04.2005 10:34:20",2
"04.04.2005 10:34:30",0
"06.04.2005 09:30:00",2
"06.04.2005 09:30:10",14
"06.04.2005 09:30:20",35
"06.04.2005 09:30:30",56
"06.04.2005 09:30:40",67
"06.04.2005 09:30:50",88
"06.04.2005 09:31:00",84
"06.04.2005 09:31:10",74
"06.04.2005 09:31:20",53
"06.04.2005 09:31:30",32
"06.04.2005 09:31:40",11
"06.04.2005 09:31:50",0
"06.04.2005 09:32:00",0
"06.04.2005 11:33:00",4
"06.04.2005 11:33:10",25
"06.04.2005 11:33:20",46
"06.04.2005 11:33:30",57
"06.04.2005 11:33:40",78
"06.04.2005 11:33:50",100
"06.04.2005 11:34:00",100
"06.04.2005 12:43:50",96
"06.04.2005 12:44:00",86
"06.04.2005 12:44:10",65
"06.04.2005 12:44:20",44
"06.04.2005 12:44:30",23
"06.04.2005 12:44:40",2
"06.04.2005 12:44:50",0
"07.04.2005 12:09:00",4
"07.04.2005 12:09:10",25
"07.04.2005 12:09:20",36
"07.04.2005 12:09:30",57
"07.04.2005 12:09:40",78
"07.04.2005 12:09:50",99
"07.04.2005 12:10:00",100
"07.04.2005 12:18:00",99
"07.04.2005 12:55:20",77
"07.04.2005 12:55:30",56
"07.04.2005 12:55:40",35
"07.04.2005 12:55:50",24
"07.04.2005 12:56:00",3
"07.04.2005 12:56:10",0
"08.04.2005 09:30:10",14
"08.04.2005 09:30:20",35
"08.04.2005 09:30:30",46
"08.04.2005 09:30:40",67
"08.04.2005 09:30:50",88
"08.04.2005 09:31:00",100
"08.04.2005 09:31:10",100
"08.04.2005 09:41:50",99
"08.04.2005 09:48:50",100
"08.04.2005 10:27:00",96
"08.04.2005 10:27:10",75
"08.04.2005 10:27:20",65
"08.04.2005 10:27:30",44
"08.04.2005 10:27:40",23
"08.04.2005 10:27:50",2
"08.04.2005 10:28:00",0
"08.04.2005 12:34:40",4
"08.04.2005 12:34:50",25
"08.04.2005 12:35:00",46
